,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
0,Kaitangata,-46.2817,169.8464,66.0,63,0,8.99,NZ,1615605260
1,Pisco,-13.7,-76.2167,71.01,94,0,4.61,PE,1615605261
2,Bambous Virieux,-20.3428,57.7575,80.6,74,40,11.5,MU,1615605263
3,Balyqshy,47.0667,51.8667,10.4,79,0,8.95,KZ,1615605264
4,Alice Springs,-23.7,133.8833,73.4,88,40,9.22,AU,1615605265
5,Padilla,3.2204,-76.3139,71.6,83,75,4.61,CO,1615605267
6,Shingū,33.7333,135.9833,57.2,67,75,20.71,JP,1615605268
7,Mastic Beach,40.7668,-72.8521,55.4,28,1,12.66,US,1615605269
8,Cape Town,-33.9258,18.4232,61.0,94,0,9.22,ZA,1615605271
9,Dravograd,46.5881,15.0192,39.0,89,99,1.92,SI,1615605272
10,Port Alfred,-33.5906,26.891,75.27,69,66,15.88,ZA,1615605273
11,Ushuaia,-54.8,-68.3,42.8,87,75,44.87,AR,1615605274
12,Port Elizabeth,-33.918,25.5701,62.6,94,63,4.61,ZA,1615605030
13,Jamestown,42.097,-79.2353,30.99,69,1,12.12,US,1615605030
14,Samarkand,39.6542,66.9597,60.8,44,40,4.61,UZ,1615605278
15,Hobart,-42.8794,147.3294,69.8,60,75,19.57,AU,1615605209
16,Pacific Grove,36.6177,-121.9166,53.6,76,75,4.61,US,1615605034
17,Kruisfontein,-34.0033,24.7314,68.77,55,57,6.31,ZA,1615605281
18,Tasiilaq,65.6145,-37.6368,10.4,92,57,1.14,GL,1615605282
19,Araxá,-19.5933,-46.9406,64.38,92,0,2.71,BR,1615605284
20,Velsk,61.0701,42.0983,14.74,91,100,11.59,RU,1615605285
21,Nizhniy Tsasuchey,50.5167,115.1333,39.63,59,0,2.73,RU,1615605286
22,Provideniya,64.3833,-173.3,30.45,96,100,31.29,RU,1615605288
23,Si Chiang Mai,17.9564,102.5867,84.0,65,3,6.91,TH,1615605289
24,Lompoc,34.6391,-120.4579,51.8,76,75,8.05,US,1615605290
25,Broome,42.2506,-75.833,33.8,51,1,16.11,US,1615605036
26,Biak,-0.9131,122.8766,83.19,71,99,2.93,ID,1615604997
27,Punta Arenas,-53.15,-70.9167,51.01,66,40,33.38,CL,1615605294
28,Mar del Plata,-38.0023,-57.5575,64.99,76,0,2.3,AR,1615605295
29,Mataura,-46.1927,168.8643,64.99,65,0,7.0,NZ,1615605296
30,Denpasar,-8.65,115.2167,95.0,59,20,6.91,ID,1615605263
31,Wasilla,61.5814,-149.4394,17.6,49,1,1.36,US,1615605299
32,Barrow,71.2906,-156.7887,-20.2,63,1,14.97,US,1615605300
33,Bredasdorp,-34.5322,20.0403,51.8,100,40,2.3,ZA,1615605301
34,Calvià,39.5657,2.5062,48.99,93,20,4.41,ES,1615605302
35,Kulhudhuffushi,6.6221,73.07,83.03,77,0,13.31,MV,1615605304
36,Tromsø,69.6496,18.957,28.4,69,75,13.8,NO,1615605305
37,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.0,46,0,20.13,RU,1615605307
38,Kapaa,22.0752,-159.319,77.0,94,75,4.61,US,1615605308
39,Rikitea,-23.1203,-134.9692,80.1,73,92,7.2,PF,1615605309
40,Kiryat Gat,31.61,34.7642,52.0,100,21,3.0,IL,1615605042
41,Albany,42.6001,-73.9662,39.2,41,20,29.93,US,1615605306
42,Katsuura,35.1333,140.3,59.0,94,90,21.85,JP,1615605313
43,Vao,-22.6667,167.4833,77.25,76,69,17.83,NC,1615605314
44,Colac,-38.3333,143.5833,57.99,96,100,12.39,AU,1615605315
45,Ahipara,-35.1667,173.1667,68.77,81,67,4.23,NZ,1615605317
46,Dodoma,-6.1722,35.7395,59.92,96,95,3.96,TZ,1615605318
47,Bundaberg,-24.85,152.35,87.01,61,90,11.5,AU,1615605319
48,Eenhana,-17.4667,16.3333,68.7,68,40,7.11,NA,1615605321
49,Luang Prabang,19.8856,102.1347,73.4,64,40,0.98,LA,1615605322
50,Lüderitz,-26.6481,15.1594,65.35,73,0,6.04,NA,1615605323
51,Moindou,-21.6924,165.677,84.2,51,90,10.36,NC,1615605324
52,Busselton,-33.65,115.3333,69.01,51,0,3.0,AU,1615605326
53,Besao,17.095,120.8579,67.33,74,95,3.49,PH,1615605327
54,Buraidah,26.326,43.975,57.2,58,6,12.66,SA,1615605204
55,Brae,60.3964,-1.353,41.0,81,75,24.16,GB,1615605329
56,Fortuna,40.5982,-124.1573,48.99,93,75,8.05,US,1615605074
57,Saldanha,-33.0117,17.9442,57.2,88,35,2.3,ZA,1615605332
58,Longyan,25.1072,117.0225,67.59,85,100,3.04,CN,1615605333
59,Arraial do Cabo,-22.9661,-42.0278,76.86,89,66,3.91,BR,1615605334
60,Srednekolymsk,67.45,153.6833,-6.05,91,100,6.55,RU,1615605335
61,Lata,40.1629,-8.3327,50.0,87,43,2.33,PT,1615605337
62,Ostrovnoy,68.0531,39.5131,9.32,94,100,16.06,RU,1615605338
63,Tazovsky,67.4667,78.7,12.51,92,100,21.47,RU,1615605043
64,Portland,45.5234,-122.6762,53.6,47,1,3.44,US,1615605053
65,Saint Paul Harbor,57.79,-152.4072,24.8,36,1,16.11,US,1615605341
66,Beaumont,30.0861,-94.1019,68.0,88,1,4.61,US,1615605301
67,Atuona,-9.8,-139.0333,79.86,58,0,1.48,PF,1615605344
68,Abatskiy,56.2875,70.4555,-3.46,95,85,12.84,RU,1615605345
69,Udachny,66.4167,112.4,5.81,93,97,9.04,RU,1615605346
70,Vaini,-21.2,-175.2,80.6,78,75,13.8,TO,1615605348
71,Dikson,73.5069,80.5464,-12.64,91,100,24.72,RU,1615605349
72,Bluff,-46.6,168.3333,64.99,67,0,7.0,NZ,1615605350
73,George Town,5.4112,100.3354,86.0,70,20,8.05,MY,1615605351
74,Guerrero Negro,27.9769,-114.0611,55.94,64,0,12.5,MX,1615605353
75,Kavieng,-2.5744,150.7967,84.29,60,79,4.61,PG,1615605354
76,Ossora,59.2353,163.0719,20.86,67,100,7.02,RU,1615605355
77,Narsaq,60.9167,-46.05,14.0,41,66,5.75,GL,1615605357
78,Jaguarari,-10.2639,-40.1958,67.55,73,64,7.29,BR,1615605358
79,Chara,56.9064,118.2631,22.82,60,98,1.41,RU,1615605359
80,Saint-Pierre,-21.3393,55.4781,77.0,78,75,6.91,RE,1615605360
81,Khanbari,27.3747,87.2039,74.62,27,4,2.35,NP,1615605362
82,Yulara,-25.2406,130.9889,77.0,73,75,14.97,AU,1615605363
83,Severo-Kuril'sk,50.6789,156.125,26.64,82,96,24.79,RU,1615605364
84,Tura,25.5198,90.2201,87.21,26,0,1.77,IN,1615605308
85,Mwinilunga,-11.7358,24.4293,63.36,96,98,2.89,ZM,1615605367
86,Hithadhoo,-0.6,73.0833,83.3,63,8,6.58,MV,1615605368
87,Forbes,-33.3833,148.0167,87.94,39,0,13.56,AU,1615605369
88,Villa Unión,23.2,-106.2333,71.01,52,1,4.61,MX,1615605370
89,Antofagasta,-23.65,-70.4,68.0,83,0,6.91,CL,1615605372
90,Hervey Bay,-25.2986,152.8535,79.0,76,21,5.99,AU,1615605373
91,Ponta Delgada,37.7333,-25.6667,59.0,88,75,12.66,PT,1615605374
92,Naze,28.3667,129.4833,71.6,53,40,11.5,JP,1615605376
93,Vila,42.0304,-8.1588,37.0,93,40,3.76,PT,1615605377
94,Lebu,-37.6167,-73.65,56.34,88,2,12.75,CL,1615605378
95,Lewisporte,49.2499,-55.0482,37.4,80,20,18.41,CA,1615605379
96,Carnarvon,-24.8667,113.6333,91.4,35,4,14.97,AU,1615605381
97,Byron Bay,-28.65,153.6167,80.6,74,40,16.11,AU,1615605382
98,Nkwerre,5.7556,7.1063,76.1,84,6,5.28,NG,1615605383
99,Moussoro,13.6408,16.4901,81.81,6,92,13.6,TD,1615605385
100,Ciudad Bolivar,8.1222,-63.5497,78.28,73,91,13.89,VE,1615605386
101,Dunedin,-45.8742,170.5036,63.0,68,0,28.01,NZ,1615605387
102,Flinders,-34.5833,150.8552,86.0,69,52,4.0,AU,1615605388
103,Boa Vista,2.8197,-60.6733,75.2,88,90,8.05,BR,1615605179
104,Tonstad,58.6626,6.7169,36.0,95,97,4.32,NO,1615605391
105,Ilulissat,69.2167,-51.1,6.8,72,62,2.3,GL,1615605392
106,Cleveland,41.4995,-81.6954,37.4,65,1,14.97,US,1615605271
107,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,90,16.11,CA,1615605394
108,Komsomol'skoye,55.2567,47.5461,3.34,90,82,9.62,RU,1615605396
109,Yellowknife,62.456,-114.3525,1.0,65,20,9.22,CA,1615605397
110,New Norfolk,-42.7826,147.0587,69.01,63,100,1.99,AU,1615605398
111,Adrar,20.5022,-10.0711,61.3,18,58,9.62,MR,1615605399
112,Karasjok,69.4719,25.5112,19.4,79,90,19.57,NO,1615605401
113,East London,-33.0153,27.9116,71.6,88,0,9.22,ZA,1615605402
114,Praia,14.9215,-23.5087,68.0,68,0,10.36,CV,1615605223
115,Hilo,19.7297,-155.09,78.8,65,20,11.5,US,1615605404
116,Qaanaaq,77.484,-69.3632,0.05,80,99,3.02,GL,1615605406
117,Shirokiy,49.758,129.523,33.06,99,0,7.56,RU,1615605407
118,Lorengau,-2.0226,147.2712,86.68,60,11,5.39,PG,1615605408
119,Mareeba,-17.0,145.4333,91.0,51,34,12.66,AU,1615605409
120,Los Algarrobos,8.5,-82.4333,73.81,68,21,4.85,PA,1615605411
121,Nikolskoye,59.7035,30.7861,33.8,93,90,4.47,RU,1615605412
122,Rio Grande,-32.035,-52.0986,68.0,91,99,9.22,BR,1615605223
123,Saint-Philippe,-21.3585,55.7679,77.0,78,75,6.91,RE,1615605414
124,Lander,42.833,-108.7307,30.2,46,1,11.5,US,1615605416
125,Port Hardy,50.6996,-127.4199,46.4,76,75,17.27,CA,1615605308
126,Reconquista,-29.15,-59.65,71.58,47,21,4.09,AR,1615605418
127,Atbasar,51.8,68.3333,-14.6,84,0,7.47,KZ,1615605419
128,Bethel,41.3712,-73.414,55.4,26,1,14.97,US,1615605421
129,Tazmalt,36.3868,4.3989,48.67,73,22,1.81,DZ,1615605422
130,Vila Franca do Campo,37.7167,-25.4333,59.0,88,75,12.66,PT,1615605423
131,Poya,-21.35,165.15,83.64,61,77,6.33,NC,1615605424
132,Touros,-5.1989,-35.4608,78.8,78,40,5.75,BR,1615605426
133,Kodinsk,58.6881,99.1844,12.2,86,40,9.71,RU,1615605427
134,Pangnirtung,66.1451,-65.7125,-9.53,98,92,0.89,CA,1615605428
135,Castro,-24.7911,-50.0119,61.21,83,27,3.33,BR,1615605430
136,Cherskiy,68.75,161.3,-6.39,92,92,15.23,RU,1615605431
137,Chumphon,10.3333,98.8333,91.4,55,20,2.3,TH,1615605432
138,Mahébourg,-20.4081,57.7,80.6,74,40,11.5,MU,1615605433
139,North Bend,43.4065,-124.2243,48.2,81,1,9.22,US,1615605435
140,Caravelas,-17.7125,-39.2481,72.75,81,0,5.19,BR,1615605436
141,San Cristobal,7.7669,-72.225,75.2,78,40,4.61,VE,1615605437
142,La Ronge,55.1001,-105.2842,28.4,64,76,1.14,CA,1615605438
143,São João da Barra,-21.6403,-41.0511,76.46,90,86,1.95,BR,1615605440
144,Morón,-34.6534,-58.6198,73.0,73,88,5.01,AR,1615605412
145,Padang,-0.9492,100.3543,84.2,70,76,2.3,ID,1615605442
146,Minoh,34.8269,135.4706,59.0,67,75,13.8,JP,1615605443
147,Cabo San Lucas,22.8909,-109.9124,68.0,60,20,12.19,MX,1615605445
148,Cap Malheureux,-19.9842,57.6142,79.0,76,18,3.0,MU,1615605446
149,Polyarny,69.1989,33.4478,15.8,79,40,8.95,RU,1615605447
150,Nizhniy Ingash,56.2,96.53,13.6,81,99,4.41,RU,1615605449
151,Tallahassee,30.4383,-84.2807,66.0,72,1,3.04,US,1615605450
152,Harper,4.375,-7.7169,78.48,87,65,6.78,LR,1615605451
153,Kangaatsiaq,68.3065,-53.4641,11.14,91,100,4.23,GL,1615605452
154,Kaihua,23.3687,104.28,65.32,69,99,7.45,CN,1615605454
155,Lázaro Cárdenas,17.9583,-102.2,73.58,76,0,2.98,MX,1615605455
156,Khāsh,28.2211,61.2158,55.17,42,1,8.84,IR,1615605456
157,Pevek,69.7008,170.3133,8.01,94,100,6.4,RU,1615605458
158,Chui,-33.6971,-53.4616,68.88,90,67,4.56,UY,1615605459
159,Solina,44.5603,18.6947,42.8,100,75,5.75,BA,1615605460
160,Puerto Ayora,-0.7393,-90.3518,75.99,92,4,1.01,EC,1615605461
161,Vilhena,-12.7406,-60.1458,68.04,97,96,1.12,BR,1615605463
162,Ailigandí,9.2333,-78.0167,78.87,78,86,13.31,PA,1615605464
163,Khatanga,71.9667,102.5,-14.24,78,100,13.27,RU,1615605465
164,Yabēlo,4.8833,38.0833,61.38,51,96,14.38,ET,1615605466
165,Batangafo,7.3008,18.2833,73.44,70,63,5.28,CF,1615605468
166,Ribeira Grande,38.5167,-28.7,60.4,81,100,18.5,PT,1615605469
167,Hastings,50.8552,0.5729,44.01,77,100,8.01,GB,1615605246
168,Bengkulu,-3.8004,102.2655,83.97,64,70,4.05,ID,1615605471
169,Northam,51.0333,-4.2167,46.0,84,90,20.0,GB,1615605473
170,Faanui,-16.4833,-151.75,83.35,63,84,1.63,PF,1615605474
171,Faya,18.3851,42.4509,57.2,67,0,5.53,SA,1615605475
172,Hirara,24.8,125.2833,69.8,56,75,9.22,JP,1615605476
173,Machilipatnam,16.1667,81.1333,78.8,73,0,4.61,IN,1615605478
174,Yar-Sale,66.8333,70.8333,16.14,79,100,19.13,RU,1615605479
175,Coyah,9.75,-13.4167,74.05,82,100,0.11,GN,1615605480
176,Wewak,-3.5534,143.6268,85.39,67,100,5.3,PG,1615605482
177,Benguela,-12.5763,13.4055,78.85,83,100,2.62,AO,1615605483
178,Laas,46.6166,10.7002,33.01,68,0,3.44,IT,1615605484
179,Olafsvik,64.8945,-23.7142,29.05,72,49,18.88,IS,1615605485
180,Plettenberg Bay,-34.0527,23.3716,68.07,67,53,5.01,ZA,1615605487
181,Hermanus,-34.4187,19.2345,63.0,84,27,3.0,ZA,1615605195
182,Lavrentiya,65.5833,-171.0,16.27,93,100,21.32,RU,1615605489
183,Hornepayne,49.2138,-84.7705,1.72,94,45,5.26,CA,1615605490
184,Lagoa,39.05,-27.9833,59.09,84,100,17.27,PT,1615605492
185,Tambilil,5.9622,124.6697,86.0,70,20,13.8,PH,1615605493
186,Bereda,43.2686,-7.5406,44.01,96,92,7.0,ES,1615605494
187,Paso de los Toros,-32.8167,-56.5167,69.53,86,90,12.73,UY,1615605495
188,Rena,61.1348,11.3641,25.81,97,98,2.55,NO,1615605497
189,Mahālingpur,16.3833,75.1167,80.28,21,62,5.3,IN,1615605498
190,Avarua,-21.2078,-159.775,80.6,89,75,3.44,CK,1615605499
191,Maamba,-17.3667,27.15,66.83,86,42,2.13,ZM,1615605501
192,Butaritari,3.0707,172.7902,81.43,77,50,11.61,KI,1615605502
193,Stutterheim,-32.5708,27.424,71.6,88,0,9.22,ZA,1615605503
194,Margate,51.3813,1.3862,44.01,84,100,5.99,GB,1615605504
195,Gladstone,-23.85,151.25,86.0,51,40,12.66,AU,1615605506
196,Dzidzantun,21.25,-89.05,73.38,61,0,7.43,MX,1615605507
197,Sydney,-33.8679,151.2073,89.01,58,40,14.97,AU,1615605376
198,Stranda,62.3096,6.9358,41.0,65,20,10.36,NO,1615605509
199,Lagos,6.5833,3.75,77.0,88,75,9.22,NG,1615605439
200,Esperance,-33.8667,121.9,66.2,42,40,10.36,AU,1615605512
201,Abashiri,44.0213,144.2697,46.4,34,0,10.36,JP,1615605513
202,Port Lincoln,-34.7333,135.8667,63.61,53,65,20.47,AU,1615605514
203,Santa Cruz de la Sierra,-17.8,-63.1667,75.2,94,74,3.44,BO,1615605515
204,Udgīr,18.3833,77.1167,82.65,14,8,9.73,IN,1615605517
205,Kyra,49.5776,111.9753,40.53,52,0,3.0,RU,1615605518
206,Hong Kong,22.2855,114.1577,72.0,75,87,15.93,HK,1615605256
207,Constitución,-35.3333,-72.4167,58.66,67,0,4.0,CL,1615605520
208,Cayenne,4.9333,-52.3333,73.4,94,0,5.77,GF,1615605522
209,Madimba,-10.4,40.3333,77.0,94,20,9.22,TZ,1615605523
210,Río Gallegos,-51.6226,-69.2181,59.0,44,0,29.93,AR,1615605524
211,Sitka,57.0531,-135.33,33.8,75,75,9.22,US,1615605525
212,Chokurdakh,70.6333,147.9167,-16.47,94,0,1.61,RU,1615605527
213,Thompson,55.7435,-97.8558,15.8,73,40,4.61,CA,1615605528
214,Neiafu,-18.65,-173.9833,86.0,62,16,6.91,TO,1615605529
215,Yangi Marg`ilon,40.4272,71.7189,46.4,76,100,4.61,UZ,1615605531
216,Havre-St-Pierre,50.2334,-63.5986,28.4,64,90,23.02,CA,1615605532
217,Mozarlândia,-14.7447,-50.5706,73.92,85,65,1.45,BR,1615605533
218,Kahului,20.8947,-156.47,75.2,88,75,8.05,US,1615605300
219,Nanortalik,60.1432,-45.2371,14.68,64,83,6.33,GL,1615605535
220,Souillac,-20.5167,57.5167,80.6,74,40,11.5,MU,1615605537
221,Neftçala,39.3742,49.2472,33.69,78,99,8.16,AZ,1615605538
222,Mogadishu,2.0371,45.3438,78.87,81,76,14.58,SO,1615605539
223,Kampot,10.6167,104.1833,86.0,61,20,13.8,KH,1615605541
224,Kamenka,51.3223,42.7678,10.0,84,63,12.57,RU,1615605542
225,Vardø,70.3705,31.1107,21.58,84,99,15.48,NO,1615605543
226,Rawson,-43.3002,-65.1023,69.75,35,0,9.37,AR,1615605544
227,Lasem,-6.6922,111.4527,84.38,70,99,4.27,ID,1615605301
228,Celestún,20.8667,-90.4,75.74,72,0,17.98,MX,1615605547
229,Kavaratti,10.5669,72.642,83.34,63,0,5.23,IN,1615605548
230,Tuatapere,-46.1333,167.6833,64.99,67,0,7.0,NZ,1615605549
231,Noumea,-22.2763,166.4572,84.2,51,90,10.36,NC,1615605394
232,Bathsheba,13.2167,-59.5167,77.0,69,40,17.27,BB,1615605552
233,Isangel,-19.55,169.2667,86.0,66,75,16.11,VU,1615605553
234,Bilibino,68.0546,166.4372,9.03,93,100,2.15,RU,1615605554
235,Aklavik,68.2191,-135.0107,-11.2,84,99,8.05,CA,1615605555
236,Camapuã,-19.5314,-54.0439,72.79,70,64,2.64,BR,1615605557
237,Asău,46.4333,26.4,37.0,62,100,3.33,RO,1615605558
238,Kichera,55.9375,110.0997,29.57,96,100,3.94,RU,1615605559
239,Waipawa,-41.4122,175.5153,69.01,52,49,5.75,NZ,1615605561
240,Cabedelo,-6.9811,-34.8339,78.8,83,20,3.44,BR,1615605562
241,Paramonga,-10.6667,-77.8333,71.65,85,0,5.35,PE,1615605563
242,Sweetwater,25.7634,-80.3731,73.4,68,40,5.75,US,1615605360
243,Chancay,-11.5714,-77.2672,73.4,83,20,13.8,PE,1615605566
244,Eureka,40.8021,-124.1637,48.99,100,1,5.06,US,1615605483
245,Ca Mau,9.1769,105.15,89.29,47,5,12.39,VN,1615605568
246,Khovd,48.0056,91.6419,43.77,18,0,5.53,MN,1615605569
247,Umreth,22.7,73.1167,75.2,57,9,9.22,IN,1615605571
248,Krasnosel'kup,65.7,82.4667,1.49,92,100,25.99,RU,1615605572
249,Khani,41.9563,42.9566,33.8,93,75,5.75,GE,1615605573
250,Grand Bank,47.0999,-55.765,34.61,86,72,16.71,CA,1615605574
251,Rūdbār,30.15,62.6,73.99,23,100,26.93,AF,1615605576
252,Airai,-8.9266,125.4092,72.63,74,90,0.65,TL,1615605577
253,Saint George,37.1041,-113.5841,39.99,93,75,3.85,US,1615605578
254,Nieuw Amsterdam,5.8833,-55.0833,75.0,94,100,10.02,SR,1615605580
255,Kwang Binh,17.4833,106.6,77.11,80,17,6.71,VN,1615605581
256,Akdepe,42.0551,59.3788,15.8,79,90,25.32,TM,1615605582
257,Abu Kamal,34.4506,40.9171,45.27,33,0,14.2,SY,1615605583
258,Poum,-20.2333,164.0167,80.62,72,32,13.62,NC,1615605585
259,Manzhouli,49.6,117.4333,40.87,53,0,2.98,CN,1615605586
260,Batken,39.8333,71.0,36.77,67,100,9.82,KG,1615605587
261,Bakchar,57.0186,82.0711,0.82,95,93,5.1,RU,1615605589
262,Saskylakh,71.9167,114.0833,-18.49,91,6,16.75,RU,1615605590
263,Coswig,51.1333,13.5833,42.01,75,0,13.8,DE,1615605591
264,Bogalusa,30.791,-89.8487,68.0,77,1,3.44,US,1615605592
265,Burg,51.8333,14.15,42.01,79,100,5.01,DE,1615605594
266,Santiago del Estero,-27.7951,-64.2615,72.68,51,82,5.77,AR,1615605595
267,Hualmay,-11.0964,-77.6139,71.67,84,0,7.49,PE,1615605596
268,Immokalee,26.4187,-81.4173,64.99,82,90,4.61,US,1615605570
269,Fenoarivo Atsinanana,-17.3667,49.4167,71.94,85,11,10.22,MG,1615605599
270,Olinda,-8.0089,-34.8553,78.8,69,20,6.91,BR,1615605600
271,Chapada dos Guimarães,-15.4606,-55.7497,75.2,88,75,2.3,BR,1615605601
272,Okha,53.5739,142.9478,30.34,83,20,11.16,RU,1615605604
273,Apac,1.9756,32.5386,67.3,57,100,4.29,UG,1615605605
274,Shenzhen,22.5455,114.0683,75.99,76,84,8.3,CN,1615605438
275,Hofn,64.2539,-15.2082,36.01,57,100,26.42,IS,1615605607
276,Palmas Bellas,9.2319,-80.0867,75.0,82,78,44.0,PA,1615605609
277,Shache,38.4167,77.2406,52.92,27,79,6.22,CN,1615605610
278,Itoman,26.1247,127.6694,68.0,59,75,14.97,JP,1615605611
279,Santoña,43.4439,-3.4576,48.99,76,0,10.36,ES,1615605613
280,Namie,37.4833,141.0,51.01,100,75,12.66,JP,1615605614
